"자치구별(1)",자치구별(2),2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"자치구별(1)",자치구별(2),총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계,총계
"자치구별(1)",자치구별(2),소계,소계,소계,첫째아,첫째아,첫째아,둘째아,둘째아,둘째아,셋째아 이상,셋째아 이상,셋째아 이상,미상,미상,미상,소계,소계,소계,첫째아,첫째아,첫째아,둘째아,둘째아,둘째아,셋째아 이상,셋째아 이상,셋째아 이상,미상,미상,미상,소계,소계,소계,첫째아,첫째아,첫째아,둘째아,둘째아,둘째아,셋째아 이상,셋째아 이상,셋째아 이상,미상,미상,미상,소계,소계,소계,첫째아,첫째아,첫째아,둘째아,둘째아,둘째아,셋째아 이상,셋째아 이상,셋째아 이상,미상,미상,미상,소계,소계,소계,첫째아,첫째아,첫째아,둘째아,둘째아,둘째아,셋째아 이상,셋째아 이상,셋째아 이상,미상,미상,미상,소계,소계,소계,첫째아,첫째아,첫째아,둘째아,둘째아,둘째아,셋째아 이상,셋째아 이상,셋째아 이상,미상,미상,미상
"자치구별(1)",자치구별(2),계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
"합계",소계,83005,42370,40635,48692,24908,23784,28847,14685,14162,5142,2624,2518,324,153,171,75536,38744,36792,44371,22829,21542,26204,13356,12848,4718,2438,2280,243,121,122,65389,33485,31904,38285,19573,18712,22629,11629,11000,4166,2160,2006,309,123,186,58074,30137,27937,35406,18340,17066,19070,9995,9075,3136,1595,1541,462,207,255,53673,27811,25862,33667,17405,16262,17032,8894,8138,2935,1510,1425,39,2,37,47445,24344,23101,30195,15544,14651,14639,7507,7132,2558,1287,1271,53,6,47
"합계",종로구,906,449,457,538,257,281,303,155,148,61,34,27,4,3,1,846,444,402,480,253,227,297,153,144,66,35,31,3,3,-,689,337,352,400,190,210,231,119,112,53,26,27,5,2,3,644,348,296,384,212,172,199,104,95,51,27,24,10,5,5,673,334,339,418,206,212,209,103,106,44,25,19,2,-,2,529,268,261,320,166,154,167,84,83,41,18,23,1,-,1
"합계",중구,950,485,465,608,317,291,279,136,143,58,31,27,5,1,4,959,497,462,591,311,280,297,150,147,69,34,35,2,2,-,808,397,411,491,254,237,265,123,142,46,18,28,6,2,4,733,342,391,457,213,244,224,107,117,34,16,18,18,6,12,783,426,357,513,276,237,228,123,105,42,27,15,-,-,-,690,348,342,467,238,229,194,101,93,28,9,19,1,-,1
"합계",용산구,1967,996,971,1178,585,593,659,344,315,126,65,61,4,2,2,1708,878,830,1042,516,526,584,321,263,77,40,37,5,1,4,1464,745,719,902,448,454,445,237,208,108,57,51,9,3,6,1377,717,660,907,469,438,384,212,172,75,33,42,11,3,8,1314,684,630,884,459,425,348,185,163,77,39,38,5,1,4,1176,611,565,811,410,401,314,172,142,49,29,20,2,-,2
"합계",성동구,2753,1379,1374,1694,847,847,919,457,462,134,73,61,6,2,4,2531,1287,1244,1586,829,757,796,387,409,141,69,72,8,2,6,2462,1265,1197,1517,791,726,833,421,412,103,51,52,9,2,7,2346,1234,1112,1547,804,743,696,374,322,97,54,43,6,2,4,2191,1120,1071,1536,777,759,588,311,277,67,32,35,-,-,-,1945,1009,936,1317,676,641,556,298,258,66,35,31,6,-,6
"합계",광진구,2951,1483,1468,1852,941,911,930,460,470,164,81,83,5,1,4,2767,1411,1356,1711,881,830,919,454,465,134,75,59,3,1,2,2347,1241,1106,1429,746,683,772,418,354,138,73,65,8,4,4,2197,1131,1066,1422,719,703,675,355,320,93,55,38,7,2,5,1957,1022,935,1287,651,636,579,327,252,91,44,47,-,-,-,1532,769,763,971,494,477,492,241,251,69,34,35,-,-,-
"합계",동대문구,2687,1393,1294,1520,801,719,1001,509,492,160,80,80,6,3,3,2383,1185,1198,1354,672,682,865,426,439,161,84,77,3,3,-,2117,1110,1007,1174,607,567,807,423,384,130,78,52,6,2,4,1886,994,892,1100,596,504,673,336,337,111,61,50,2,1,1,1884,943,941,1096,551,545,662,332,330,126,60,66,-,-,-,1702,860,842,1043,529,514,540,277,263,119,54,65,-,-,-
"합계",중랑구,3368,1758,1610,1875,979,896,1227,645,582,258,131,127,8,3,5,3085,1551,1534,1765,869,896,1086,555,531,229,122,107,5,5,-,2744,1407,1337,1581,809,772,947,498,449,205,96,109,11,4,7,2446,1265,1181,1471,762,709,820,427,393,146,75,71,9,1,8,2244,1176,1068,1434,740,694,680,364,316,129,72,57,1,-,1,1873,957,916,1153,585,568,612,315,297,108,57,51,-,-,-
"합계",성북구,3514,1805,1709,1906,972,934,1348,698,650,253,130,123,7,5,2,3060,1552,1508,1642,849,793,1176,586,590,230,112,118,12,5,7,2631,1344,1287,1450,729,721,991,510,481,183,101,82,7,4,3,2264,1210,1054,1330,727,603,790,407,383,135,72,63,9,4,5,2147,1098,1049,1234,617,617,774,404,370,139,77,62,-,-,-,2041,1022,1019,1216,617,599,705,343,362,119,61,58,1,1,-
"합계",강북구,2164,1113,1051,1193,635,558,784,383,401,179,92,87,8,3,5,1965,990,975,1037,545,492,751,354,397,171,88,83,6,3,3,1772,882,890,955,476,479,687,338,349,124,65,59,6,3,3,1344,691,653,761,395,366,484,242,242,90,52,38,9,2,7,1227,637,590,718,366,352,404,213,191,103,58,45,2,-,2,1049,557,492,606,306,300,366,211,155,75,39,36,2,1,1
"합계",도봉구,2481,1250,1231,1348,677,671,976,484,492,156,88,68,1,1,-,2249,1148,1101,1258,649,609,835,421,414,152,77,75,4,1,3,1906,978,928,1019,503,516,738,398,340,147,76,71,2,1,1,1707,903,804,930,506,424,673,350,323,103,46,57,1,1,-,1483,786,697,875,462,413,516,272,244,92,52,40,-,-,-,1218,631,587,675,355,320,437,215,222,106,61,45,-,-,-
"합계",노원구,4462,2286,2176,2579,1312,1267,1604,824,780,261,141,120,18,9,9,4176,2192,1984,2424,1248,1176,1473,797,676,261,135,126,18,12,6,3494,1772,1722,1989,996,993,1284,659,625,206,111,95,15,6,9,2851,1490,1361,1707,894,813,974,519,455,155,76,79,15,1,14,2604,1349,1255,1590,832,758,872,445,427,140,72,68,2,-,2,2252,1188,1064,1378,727,651,733,389,344,138,72,66,3,-,3
"합계",은평구,3870,1926,1944,2221,1106,1115,1339,654,685,268,142,126,42,24,18,3522,1825,1697,2025,1074,951,1223,612,611,263,137,126,11,2,9,2930,1466,1464,1652,818,834,1062,535,527,207,111,96,9,2,7,2703,1364,1339,1578,785,793,919,483,436,183,85,98,23,11,12,2407,1253,1154,1421,730,691,820,429,391,165,94,71,1,-,1,2144,1092,1052,1333,669,664,670,354,316,136,68,68,5,1,4
"합계",서대문구,2175,1106,1069,1269,637,632,724,391,333,167,74,93,15,4,11,2201,1124,1077,1251,630,621,804,411,393,140,78,62,6,5,1,1911,973,938,1095,548,547,658,338,320,153,87,66,5,-,5,1647,879,768,1038,559,479,505,273,232,87,43,44,17,4,13,1521,770,751,930,465,465,502,261,241,87,44,43,2,-,2,1533,775,758,935,475,460,504,257,247,88,42,46,6,1,5
"합계",마포구,3626,1841,1785,2314,1173,1141,1126,570,556,173,88,85,13,10,3,3392,1730,1662,2188,1115,1073,1023,516,507,157,85,72,24,14,10,2812,1461,1351,1734,950,784,910,434,476,140,70,70,28,7,21,2528,1281,1247,1585,789,796,817,425,392,109,58,51,17,9,8,2334,1200,1134,1558,809,749,678,342,336,98,49,49,-,-,-,2015,1057,958,1343,695,648,591,315,276,81,47,34,-,-,-
"합계",양천구,3526,1803,1723,1982,1013,969,1314,670,644,226,117,109,4,3,1,3334,1679,1655,1829,942,887,1246,606,640,255,127,128,4,4,-,2876,1474,1402,1603,781,822,1050,565,485,215,124,91,8,4,4,2387,1185,1202,1352,666,686,869,435,434,162,83,79,4,1,3,2222,1203,1019,1301,723,578,775,409,366,146,71,75,-,-,-,1875,977,898,1153,611,542,603,304,299,118,62,56,1,-,1
"합계",강서구,5812,2978,2834,3552,1819,1733,1932,998,934,320,160,160,8,1,7,5456,2859,2597,3376,1772,1604,1761,925,836,313,158,155,6,4,2,4800,2462,2338,2874,1467,1407,1641,859,782,278,134,144,7,2,5,4260,2184,2076,2636,1361,1275,1379,709,670,212,96,116,33,18,15,3841,1995,1846,2446,1286,1160,1198,610,588,196,98,98,1,1,-,3345,1692,1653,2291,1150,1141,914,476,438,140,66,74,-,-,-
"합계",구로구,4257,2116,2141,2430,1218,1212,1546,770,776,262,125,137,19,3,16,3736,1924,1812,2131,1101,1030,1365,708,657,231,112,119,9,3,6,3139,1595,1544,1807,909,898,1111,572,539,205,108,97,16,6,10,2658,1371,1287,1599,806,793,876,472,404,146,75,71,37,18,19,2460,1270,1190,1502,771,731,812,432,380,138,67,71,8,-,8,2269,1203,1066,1403,757,646,723,369,354,138,77,61,5,-,5
"합계",금천구,1885,960,925,1053,559,494,685,322,363,143,76,67,4,3,1,1595,820,775,873,446,427,576,301,275,131,66,65,15,7,8,1498,788,710,830,433,397,534,281,253,109,59,50,25,15,10,1314,655,659,738,367,371,417,212,205,90,41,49,69,35,34,1154,622,532,687,365,322,385,219,166,81,38,43,1,-,1,1092,553,539,722,369,353,316,159,157,52,25,27,2,-,2
"합계",영등포구,3611,1865,1746,2204,1153,1051,1221,625,596,165,78,87,21,9,12,3282,1690,1592,2015,1020,995,1099,590,509,149,72,77,19,8,11,2805,1465,1340,1717,915,802,947,484,463,139,64,75,2,2,-,2698,1352,1346,1685,820,865,855,452,403,133,69,64,25,11,14,2633,1338,1295,1717,884,833,786,390,396,130,64,66,-,-,-,2296,1200,1096,1489,788,701,703,350,353,104,62,42,-,-,-
"합계",동작구,3643,1854,1789,2183,1093,1090,1230,647,583,217,111,106,13,3,10,3184,1677,1507,1941,1034,907,1077,549,528,154,89,65,12,5,7,2814,1387,1427,1698,835,863,938,476,462,157,70,87,21,6,15,2417,1244,1173,1527,802,725,767,386,381,104,53,51,19,3,16,2227,1174,1053,1435,745,690,686,366,320,103,63,40,3,-,3,2044,1076,968,1314,686,628,613,342,271,112,48,64,5,-,5
"합계",관악구,3960,2035,1925,2395,1231,1164,1315,682,633,224,112,112,26,10,16,3561,1803,1758,2146,1110,1036,1183,584,599,220,106,114,12,3,9,2931,1487,1444,1815,926,889,918,455,463,188,101,87,10,5,5,2582,1384,1198,1666,910,756,776,413,363,120,57,63,20,4,16,2245,1155,1090,1442,742,700,700,366,334,99,47,52,4,-,4,1905,955,950,1199,601,598,609,302,307,94,50,44,3,2,1
"합계",서초구,4078,2053,2025,2345,1191,1154,1447,714,733,272,140,132,14,8,6,3629,1827,1802,2094,1032,1062,1281,658,623,247,135,112,7,2,5,3039,1559,1480,1809,935,874,1011,520,491,211,101,110,8,3,5,2919,1557,1362,1779,946,833,944,502,442,181,97,84,15,12,3,2512,1337,1175,1594,829,765,770,431,339,148,77,71,-,-,-,2238,1165,1073,1466,749,717,650,350,300,122,66,56,-,-,-
"합계",강남구,4595,2369,2226,2731,1408,1323,1523,785,738,296,147,149,45,29,16,4122,2047,2075,2469,1234,1235,1366,660,706,261,142,119,26,11,15,3456,1783,1673,2053,1058,995,1122,585,537,238,118,120,43,22,21,2940,1568,1372,1764,923,841,934,505,429,169,95,74,73,45,28,2749,1432,1317,1797,951,846,811,404,407,138,77,61,3,-,3,2356,1232,1124,1554,848,706,681,327,354,117,57,60,4,-,4
"합계",송파구,5899,3045,2854,3541,1862,1679,2014,1025,989,326,149,177,18,9,9,5500,2915,2585,3266,1731,1535,1922,1021,901,307,161,146,5,2,3,4976,2606,2370,3009,1582,1427,1678,867,811,265,149,116,24,8,16,4567,2422,2145,2808,1469,1339,1527,832,695,226,117,109,6,4,2,4424,2277,2147,2749,1423,1326,1437,745,692,238,109,129,-,-,-,3791,1906,1885,2409,1228,1181,1183,592,591,198,86,112,1,-,1
"합계",강동구,3865,2022,1843,2181,1122,1059,1401,737,664,273,159,114,10,4,6,3293,1689,1604,1877,966,911,1199,611,588,199,99,100,18,13,5,2968,1501,1467,1682,867,815,1049,514,535,218,112,106,19,8,11,2659,1366,1293,1635,840,795,893,463,430,124,59,65,7,4,3,2437,1210,1227,1503,745,758,812,411,401,118,54,64,4,-,4,2535,1241,1294,1627,815,812,763,364,399,140,62,78,5,-,5
